% Time Container1 Container2 Container3 Container4 Container5
0.100000 99.676425 99.676425 81.921583 108.095225 109.012466
0.112202 106.181390 96.996718 79.485376 114.224092 103.237211
0.125893 107.637734 102.667421 69.799584 113.616275 113.263294
0.141254 116.727844 102.539579 61.974799 111.988529 113.122258
0.158489 114.098761 109.447609 66.148450 106.934715 114.099999
0.177828 108.400135 103.463096 72.017079 107.035572 120.295355
0.199526 102.552869 101.901493 72.355024 113.772741 123.028005
0.223872 109.915061 101.205436 73.739883 111.176462 114.064980
0.251189 118.104738 89.753056 74.975063 117.286075 118.527349
0.281838 122.680956 87.073399 87.668813 106.346577 119.608830
0.316228 122.674379 86.082700 94.344563 101.550620 118.698254
0.354813 130.164128 66.392376 93.086374 109.612899 117.115282
0.398107 129.909689 66.725354 93.553231 107.190803 121.581741
0.446684 144.124585 72.089316 83.664260 93.252512 120.281904
0.501187 145.144605 63.401411 80.961993 91.989075 124.959493
0.562341 142.656391 71.545635 76.146993 84.608061 122.817312
0.630957 150.726894 72.785493 81.225541 84.216471 117.446232
0.707946 147.767205 68.159249 81.146371 76.474181 122.909890
0.794328 149.399969 68.806016 83.924356 77.425552 122.386639
0.891251 155.167269 71.848668 83.690606 73.382158 123.848229
1.000000 149.264004 71.777498 91.736103 80.114643 114.541538
1.122018 159.448499 72.155736 86.859232 76.499165 115.145126
1.258925 166.416047 68.650709 83.637453 82.264889 116.896217
1.412538 165.600484 64.163373 88.736701 66.785359 130.041470
1.584893 164.441872 61.382756 80.596371 74.663888 130.637049
1.778279 157.394523 56.836563 79.152843 81.174376 127.998393
1.995262 155.047996 57.303522 89.393117 88.476460 121.560625
2.238721 150.440021 58.372429 99.962411 88.725191 123.828146
2.511886 154.681692 59.038143 101.102443 93.888509 118.562953
2.818383 151.790884 70.358248 102.791988 94.951387 116.192622
3.162278 153.409487 64.297138 111.230613 100.329464 112.534902
3.548134 158.998643 63.505061 102.381354 99.093506 111.148585
3.981072 159.437201 60.262606 94.126356 98.746450 120.680359
4.466836 166.055418 69.026315 90.146288 99.773837 113.799233
5.011872 160.801448 81.097441 82.744960 93.112646 121.295552
5.623413 153.898801 64.639447 82.944321 100.627059 138.241180
6.309573 152.401201 67.971455 84.458686 99.885919 139.137657
7.079458 153.540668 72.506539 87.295757 96.605863 137.972362
7.943282 162.390673 67.335939 81.936068 96.196411 137.739801
8.912509 164.337801 67.056790 86.768318 104.923193 120.250947
10.000000 163.818494 67.584551 100.993907 99.881166 115.335188
11.220185 167.060077 65.313598 94.825047 107.319911 111.052659
12.589254 172.816346 54.215752 93.727635 110.645721 110.257004
14.125375 179.145590 45.538474 95.259939 110.364336 109.976608
15.848932 182.146264 46.803092 96.959151 102.323092 121.103076
17.782794 185.976388 57.987200 95.347716 89.964112 110.929464
19.952623 179.236003 66.537321 100.446214 80.550505 110.282048
22.387211 170.103551 81.570534 98.703557 70.739194 106.617855
25.118864 153.417695 87.690329 97.715721 70.031228 113.598089
28.183829 151.830515 82.372455 101.115480 64.641331 117.088251
31.622777 142.087277 90.626382 94.121703 63.852351 123.072380
35.481339 152.914769 89.999222 94.730878 55.155048 126.274384
39.810717 157.411873 80.671018 96.353373 64.489279 123.672626
44.668359 159.533780 74.507044 101.758429 65.045419 126.260257
50.118723 158.762515 71.859611 89.988738 64.095283 134.699217
56.234133 155.715159 76.170066 71.331685 72.278824 133.939941
63.095734 144.063437 73.919811 76.869990 80.362455 126.247346
70.794578 145.970221 84.020454 77.508026 70.161135 127.069718
79.432823 154.195617 85.470602 76.796701 68.691303 128.286689
89.125094 158.290563 85.723991 68.514592 68.780941 132.800836
100.000000 159.893545 85.531860 71.015601 70.577111 134.788801
112.201845 165.117875 80.942993 66.757480 66.506530 136.809717
125.892541 185.148658 72.305976 67.644353 67.659467 132.323688
141.253754 195.896293 73.338189 66.112685 67.787142 129.443708
158.489319 186.587983 79.135275 65.250475 75.098499 119.560162
177.827941 178.817037 73.458635 74.918263 74.629804 120.528142
199.526231 178.657569 78.126915 72.647776 72.065426 123.961143
223.872114 185.172107 79.424832 64.682634 78.389641 125.866584
251.188643 182.154355 87.650922 55.417564 80.302471 125.204660
281.838293 177.676746 87.036055 46.342090 91.625681 124.326356
316.227766 178.587780 82.334695 49.312127 84.915187 127.133073
354.813389 184.293274 83.779800 57.842162 70.302850 135.231673
398.107171 176.140909 84.351175 70.928526 67.499668 136.153947
446.683592 168.351473 83.498316 74.474357 65.223792 138.116251
501.187234 166.834524 91.850985 65.339523 65.774093 144.333907
562.341325 168.037032 98.345540 65.653158 68.807297 135.853888
630.957344 163.882219 102.956454 57.153228 64.188935 141.851580
707.945784 172.322064 103.589246 64.417963 55.894223 132.870347
794.328235 171.468551 100.256364 72.675370 51.525050 125.140582
891.250938 171.305454 100.803963 68.217573 53.486155 130.098829
1000.000000 180.010845 101.224594 55.808486 53.489582 133.412035
1122.018454 178.343282 93.132057 47.813625 60.092747 139.710167
1258.925412 172.336443 85.896607 53.971759 59.830008 144.787474
1412.537545 173.927851 90.999545 50.160408 62.897454 143.609529
1584.893192 183.271354 94.277093 40.996239 58.461198 140.661756
1778.279410 183.258496 100.509811 42.214662 56.657829 142.764156
1995.262315 173.514594 110.114335 57.375571 47.981026 136.161365
2238.721139 171.279785 110.546382 54.182953 54.502638 136.695611
2511.886432 160.670775 117.351335 64.681089 45.848462 132.748830
2818.382931 165.430196 117.112389 67.343121 42.851109 127.502225
3162.277660 173.095831 106.879286 66.150711 33.433868 135.951926
3548.133892 180.412904 108.754652 65.373947 27.428093 136.815111
3981.071706 180.364164 125.587310 57.426695 27.420683 127.845702
4466.835922 181.186628 127.854127 66.405789 18.411426 127.151612
5011.872336 174.245793 132.789056 63.778231 19.400685 125.975131
5623.413252 167.302669 143.570570 56.775353 23.924099 118.166163
6309.573445 164.879584 141.491203 53.116546 21.803115 121.065735
7079.457844 170.077227 144.192043 62.105665 12.193737 123.376686
7943.282347 160.855016 150.595367 67.560840 12.084363 116.257798
8912.509381 159.378747 145.822941 64.986573 11.990577 121.236993
